Name,Value, Ball Control, Dribbling, Marking, Slide Tackle, Stand Tackle, Aggression, Reactions, Att. Position, Interceptions, Vision, Composure, Crossing, Short Pass, Long Pass, Acceleration, Stamina, Strength, Balance, Sprint Speed, Agility, Jumping, Heading, Shot Power, Finishing, Long Shots, Curve, FK Acc., Penalties, Volleys, GK Positioning, GK Diving, GK Handling, GK Kicking, GK Reflexes,Tag
1,120000000,92,93,22,23,31,63,96,94,29,85,86,84,82,72,91,92,80,63,92,90,95,87,94,93,92,81,77,85,88,14,7,11,15,11,1
2,120000000,95,97,13,26,28,48,95,93,22,90,94,77,88,87,92,74,59,95,87,90,68,71,83,95,88,89,90,74,85,14,6,11,15,8,1
3,90000000,95,96,21,33,24,56,88,90,36,80,80,75,81,75,93,70,49,82,90,96,61,62,78,89,77,78,79,81,83,15,9,9,15,11,1
4,90000000,91,86,30,38,45,78,93,92,41,84,83,77,83,64,88,89,76,60,77,86,69,77,87,94,86,86,84,85,88,33,27,25,31,37,1
5,45000000,48,30,10,11,10,29,85,12,30,70,70,15,55,59,58,44,83,35,61,52,78,25,25,13,16,14,11,47,11,91,89,90,95,89,2
6,45000000,31,13,13,13,21,38,88,12,30,68,60,17,31,32,56,25,64,43,56,57,67,21,31,13,12,21,19,40,13,85,88,85,87,90,2
7,75000000,87,85,25,19,42,80,88,89,39,78,87,62,83,65,79,79,84,79,82,78,84,85,86,91,82,77,68,78,86,8,15,6,12,10,1
8,45000000,73,67,91,91,94,83,84,47,85,76,86,69,75,80,74,75,91,54,83,58,76,87,79,34,58,56,31,46,53,6,7,12,15,5,3
9,90000000,88,89,51,52,55,65,87,86,59,79,85,87,86,80,93,78,80,65,95,77,79,82,91,87,90,86,85,76,76,5,15,15,11,6,1
10,50000000,90,87,15,27,41,84,85,86,20,83,91,76,84,76,69,75,93,41,74,86,72,76,93,90,88,80,80,91,93,9,13,15,10,12,1
11,50000000,23,13,11,16,18,23,81,13,15,44,52,14,32,31,46,38,70,45,52,61,68,13,36,14,17,19,11,27,12,86,84,91,69,89,2
12,50000000,92,86,66,73,80,62,88,79,76,90,76,78,92,83,77,83,58,94,71,93,67,55,73,71,82,79,77,80,74,14,13,9,7,9,1
13,50000000,90,86,22,19,16,54,87,84,24,93,73,80,89,84,77,68,56,70,68,84,52,54,70,75,76,84,79,67,77,6,6,14,10,14,1
14,16000000,80,68,90,89,91,77,84,59,91,74,80,60,79,81,72,74,81,68,76,75,93,82,78,38,71,61,73,71,63,9,9,12,5,10,1
15,60000000,89,89,13,12,20,57,88,91,24,83,90,70,79,63,92,74,73,90,86,86,80,68,87,90,84,82,72,80,85,11,13,15,6,14,1
16,40000000,83,61,85,90,89,84,82,52,88,63,76,66,76,70,77,84,81,60,78,80,92,86,79,60,55,73,67,68,66,7,11,8,9,11,1
17,80000000,90,89,68,78,74,72,86,84,70,86,82,78,86,82,75,91,91,61,79,79,85,72,90,71,90,82,82,76,84,4,5,6,2,3,1
18,60000000,86,87,23,11,22,69,90,91,35,76,81,82,79,75,87,75,61,80,86,90,83,80,81,88,82,84,75,71,87,13,14,8,14,14,1
19,60000000,86,85,30,40,39,68,87,83,52,88,82,90,88,82,76,85,73,75,78,78,65,53,84,82,85,78,77,77,82,10,15,13,5,13,1
20,40000000,85,86,30,46,36,47,87,86,50,84,82,83,86,79,89,72,64,82,91,87,70,51,87,83,85,90,84,84,88,13,12,12,13,11,1
21,65000000,90,93,25,22,27,54,85,84,41,86,86,80,82,78,93,74,63,90,87,92,59,57,79,80,82,82,79,86,79,8,11,12,6,8,1
22,60000000,85,78,63,65,75,60,85,76,77,88,85,84,89,93,55,78,74,62,37,70,34,54,87,75,88,84,83,73,82,7,10,11,13,10,4
23,40000000,76,53,87,89,86,86,85,48,88,52,80,55,79,70,62,69,80,58,67,63,89,92,67,42,43,49,51,50,47,5,6,8,15,15,3
24,24000000,34,10,12,18,10,31,84,10,27,30,64,13,27,31,65,41,43,54,63,55,74,10,23,10,14,11,10,40,11,82,87,87,68,90,2
25,75000000,85,84,12,18,22,50,86,92,20,70,84,68,72,58,78,73,83,65,82,74,75,80,85,91,82,69,62,70,86,5,5,12,7,10,1
26,13000000,86,82,86,95,87,58,91,69,93,82,94,84,86,79,68,79,59,93,67,82,72,63,57,47,65,77,59,71,66,14,11,12,5,5,1
